"gene"	"mRNA len"	"genomic span"	"DC_normal"	"DC_treated"	"DC0904"	"DC0907"	"DCLPS0910"	"DCLPS0913"	"A_DC"	"A_DC_LPS"	"B_DC"	"B_DC_LPS"	"C_DC"	"C_DC_LPS"	"C2DC"	"C2DCLPS"	"C3DC"	"C3DCLPS"
"ABHD14A"	1143	3983	0	0	0	0	0	0	26	0	0	0	134	82	129	139	82	113
"ABHD14B"	2440	6121	62	0	47	15	0	0	103	25	0	0	1014	777	991	872	1286	893
"ABHD15"	2741	5739	395	75	270	125	55	20	240	36	576	0	1704	1230	1755	236	1972	958
"ABHD2"	9148	114212	11180	1388	6233	4947	765	623	4465	496	5381	683	10045	9148	14386	12718	11251	8442
"ABHD3"	2073	53910	2847	709	1577	1270	413	296	1660	571	1424	766	1529	1570	1466	1409	1596	632
"ABHD4"	2508	14112	137	0	69	68	0	0	100	12	12	0	1410	954	1318	1128	1541	1417
"ABHD5"	5359	31843	44	40	44	0	16	24	124	23	24	42	498	534	670	587	681	520
"ABHD6"	2466	57202	1314	19	679	635	6	13	903	0	327	0	577	543	1062	934	902	777
"ABHD8"	2094	11343	91	4	48	43	2	2	22	1	35	5	390	304	677	424	553	505
"ABI1"	3678	114434	12131	20588	6801	5330	10894	9694	4751	18233	3240	54283	1925	2544	4573	2483	5240	4174
"ABI2"	6604	103890	1069	94	601	468	74	20	959	131	124	30	810	707	930	551	1152	715
"ABI2B"	6599	103890	1069	94	601	468	74	20	959	131	124	30	810	707	930	551	1152	715
"ABI3"	2117	13000	537	199	271	266	37	162	92	108	129	2226	77	813	660	950	142	106
"ABI3BP"	4616	97111	174	147	112	62	75	72	186	523	42	65	0	0	0	0	0	0
"ABIN-3"	2420	85218	0	1392	0	0	757	635	0	493	0	475	0	1304	0	384	0	116
"ABL1"	5890	173794	6288	1514	3561	2727	849	665	3749	1811	2262	2498	1564	1266	1932	1671	2502	1558
"ABL2"	12238	130358	43396	49981	24379	19017	32165	17816	15332	14822	30068	66559	8936	25812	7853	32098	9508	14913
"ABLIM1"	7715	253546	12	0	2	10	0	0	15	0	0	0	123	180	107	178	38	6
"ABLIM2"	3781	193523	0	1	0	0	0	1	801	394	0	5	0	0	0	0	0	0
"ABLIM3"	4589	118824	0	0	0	0	0	0	38	10	0	0	0	0	0	3	0	0
"ABO"	1585	20069	25	0	16	9	0	0	196	77	70	0	6	87	24	0	41	20
"ABP1"	6562	32312	0	0	0	0	0	0	12	11	0	0	53	21	110	81	160	135
"ABR"	5625	183858	63285	65980	33670	29615	35124	30856	19265	48828	56667	90418	10754	5518	6554	12299	8195	4740
"ABRA"	2755	10762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ABT1"	2255	3097	48	16	35	13	16	0	55	25	0	0	517	443	693	437	851	535
"ABTB1"	2082	6811	433	13	261	172	7	6	173	105	476	257	562	522	829	722	1045	715
"ABTB2"	4166	206269	543	16316	295	248	8848	7468	268	9508	0	19234	36	287	49	21	74	13
"ACAA1"	1830	14533	860	144	490	370	57	87	390	142	273	77	1387	945	1381	1137	2162	1073
"ACAA2"	1943	30378	96	0	43	53	0	0	52	20	0	0	1328	836	2085	1910	2182	1403
"ACACA"	10722	324976	3809	1851	2096	1713	1051	800	2627	1542	461	924	1718	1269	1795	1771	2106	1514
"ACACB"	9410	151630	611	220	281	330	124	96	685	217	322	539	647	825	648	701	824	657
"ACAD10"	4128	71055	581	149	312	269	55	94	765	244	720	193	563	505	700	565	969	554
"ACAD11"	3574	101993	277	170	175	102	85	85	458	84	197	121	380	491	384	267	643	387
"ACAD8"	2210	12312	219	4	146	73	0	4	124	9	0	0	303	327	515	285	700	334
"ACAD9"	2635	33492	1085	229	683	402	108	121	788	341	331	325	728	677	847	827	1025	761
"ACADL"	2499	37499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ACADM"	2713	39312	477	30	231	246	16	14	336	36	44	31	1852	1747	1982	1729	1551	1195
"ACADS"	1926	14241	2	0	0	2	0	0	51	10	0	0	357	242	536	406	497	333
"ACADSB"	5951	49378	0	0	0	0	0	0	84	0	0	0	395	441	219	208	319	194
"ACADVL"	2307	5433	1663	832	934	729	405	427	637	440	1111	697	3254	3447	6027	5027	6066	3389
"ACAN"	8858	71913	0	0	0	0	0	0	87	51	0	0	0	0	0	0	0	0
"ACAP1"	2530	14947	1159	686	648	511	371	315	446	307	450	617	1402	1381	776	668	1402	879
"ACAP2"	7183	168344	15509	3939	8659	6850	2285	1654	7031	1562	5435	2586	4474	5026	4093	3136	2242	2763
"ACAP3"	5347	13547	1632	642	950	682	264	378	695	536	1381	1062	745	856	1779	1452	2359	1353
"ACAT1"	2308	22406	256	75	164	92	45	30	264	27	68	34	394	290	530	888	564	756
"ACAT2"	2040	21050	551	5546	328	223	2958	2588	166	2702	0	24966	1641	3790	1589	2656	1632	1890
"ACBD3"	3571	42043	965	566	570	395	336	230	638	315	91	949	1004	973	1253	1070	1285	849
"ACBD4"	2249	8529	103	26	51	52	11	15	114	81	39	0	85	56	98	69	230	91
"ACBD5"	3997	45666	432	0	245	187	0	0	228	0	0	26	831	812	1087	872	1065	768
"ACBD6"	1623	214671	1093	510	705	388	295	215	899	462	0	124	222	326	346	341	436	322
"ACBD7"	3373	13302	4	0	3	1	0	0	0	11	0	0	0	0	0	0	0	0
"ACCN1"	3450	279900	225	209	134	91	103	106	309	90	0	128	454	478	238	258	288	153
"ACCN2"	3927	25908	1	0	0	1	0	0	85	74	0	0	0	0	0	0	0	0
"ACCN3"	2099	4240	0	0	0	0	0	0	111	66	0	0	5	1	19	17	45	22
"ACCN4"	3157	19704	1	0	1	0	0	0	212	114	0	0	0	0	0	0	0	0
"ACCN5"	1702	36546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ACCS"	2188	17759	923	323	511	412	207	116	507	302	151	39	188	141	422	243	585	245
"ACCSL"	1881	11998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ACD"	2077	3304	7	0	0	7	0	0	44	63	0	124	272	296	315	351	396	345
"ACE"	4894	37028	9010	2791	4869	4141	1513	1278	3833	918	6371	1325	12259	9890	19001	13675	23262	10931
"ACE2"	3526	41038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ACER1"	1094	27132	0	0	0	0	0	0	29	25	0	0	0	0	0	0	0	0
"ACER2"	2995	43577	18	0	9	9	0	0	99	10	0	0	67	79	62	15	27	6
"ACER3"	4398	162935	6760	2781	3775	2985	1557	1224	3486	1792	733	1367	2110	2484	1477	1357	2034	1222
"ACHE"	2964	5927	0	4	0	0	4	0	77	109	0	18	0	54	0	141	0	30
"ACID2"	1474	9988	933	1643	843	90	706	937	591	621	252	542	638	84	1581	1491	1926	1448
"ACIN1"	4954	37049	8844	3580	4801	4043	1896	1684	3311	1288	6577	2903	6268	8418	8192	5564	10720	5650
"ACLY"	4384	52093	2505	937	1336	1169	552	385	1263	684	877	1250	2729	2664	3752	3197	4915	3087
"ACMSD"	1315	63416	10	0	10	0	0	0	22	0	0	1	2	34	8	11	0	2
"ACN9"	2057	65170	18	0	10	8	0	0	51	0	0	0	143	143	113	101	168	100
"ACO1"	3813	66231	1587	3793	919	668	1984	1809	759	5515	53	650	849	1956	1003	1442	1128	838
"ACO2"	2833	59865	4171	3307	2398	1773	1948	1359	1791	2151	2805	6210	1024	3866	5528	5683	7461	5500
"ACOT1"	1607	38431	42	0	15	27	0	0	36	0	0	0	291	328	972	666	1021	730
"ACOT11"	3098	62101	221	13	117	104	6	7	826	137	27	0	153	106	152	135	206	164
"ACOT12"	2003	64042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ACOT13"	4395	38032	2529	982	1461	1068	132	850	1262	559	949	280	291	8388	584	590	6340	4608
"ACOT2"	1768	6587	42	0	15	27	0	0	27	0	0	0	291	328	904	626	904	632
"ACOT4"	1633	4060	0	0	0	0	0	0	0	0	0	0	0	0	46	24	0	8
"ACOT6"	1004	3044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ACOT7"	1813	129495	3186	357	1749	1437	195	162	2817	1054	1917	902	1477	1382	2047	1645	2767	2881
"ACOT7L"	1616	14284	8	0	5	3	0	0	87	0	0	0	279	269	10	16	4	6
"ACOT8"	1163	15676	386	22	213	173	10	12	251	11	104	0	249	101	395	326	528	305
"ACOT9"	1742	39631	1873	1953	996	877	1124	829	529	906	640	3350	1380	2505	1374	1325	1411	981
"ACOX1"	7689	37857	1392	1128	754	638	639	489	587	699	300	1996	1574	2353	1725	1951	1990	1458
"ACOX2"	2323	32067	41	0	29	12	0	0	371	9	20	0	5	1	49	44	27	23
"ACOX3"	2944	62200	5081	23183	2807	2274	12129	11054	1337	11613	648	17109	688	1433	616	1143	761	440
"ACOXL"	2733	361773	0	0	0	0	0	0	54	10	0	0	0	0	0	0	0	3
"ACP1"	1585	13413	386	118	211	175	80	38	275	178	0	215	1024	1053	1263	972	1552	899
"ACP2"	2522	9605	553	194	307	246	96	98	291	235	66	218	1368	1592	1061	2519	2186	663
"ACP5"	1636	4326	1323	569	721	602	300	269	348	194	663	0	19042	13130	27619	36607	36414	30636
"ACP6"	3626	20690	19	0	7	12	0	0	64	0	9	0	86	65	28	19	51	24
"ACPL2"	3188	62805	524	144	385	139	110	34	614	601	133	425	466	558	351	307	705	433
"ACPP"	3229	41481	631	33	304	327	30	3	433	8	63	18	553	825	540	342	529	287
"ACPT"	1358	4811	0	0	0	0	0	0	54	37	0	0	0	0	0	0	0	0
"ACR"	1374	7076	0	0	0	0	0	0	69	42	0	0	0	0	0	0	0	0
"ACR1"	742	3122	1	0	0	1	0	0	68	59	0	0	597	574	982	648	871	656
"ACRBP"	1896	9340	0	0	0	0	0	0	59	11	0	0	18	40	25	13	51	4
"ACRC"	3191	35561	54	105	45	9	74	31	59	134	0	67	4	57	11	25	10	8
"ACRV1"	1327	8714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ACSBG1"	2842	63712	10	0	9	1	0	0	144	59	0	0	1	0	0	0	0	0
"ACSBG2"	2761	57429	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0
"ACSF2"	2331	48683	3864	296	2217	1647	179	117	2102	242	4838	178	1881	1364	2070	1098	3226	1883
"ACSF3"	3636	61917	2307	463	1299	1008	222	241	1636	625	1127	781	738	679	656	584	831	561
"ACSL1"	3976	52858	4433	35325	2435	1998	22148	13177	1160	23741	550	45407	2932	8104	3596	15978	3476	7301
"ACSL3"	4377	82388	16659	36833	9264	7395	19781	17052	6844	16644	2908	9510	8585	9678	7068	5143	11263	7055
"ACSL4"	5352	92059	5527	7363	3106	2421	4004	3359	2646	4419	384	2655	5637	6747	5306	4721	5369	3561
"ACSL5"	3401	53116	1423	5046	734	689	2806	2240	719	2717	307	8141	1752	2477	1897	2474	2436	2154
"ACSL6"	3153	187133	178	85	142	36	40	45	161	19	33	40	58	48	57	38	22	20
"ACSM1"	2157	74509	3172	5951	1915	1257	3191	2760	377	1000	568	5905	146	344	3	6	15	4
"ACSM2A"	3273	36132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ACSM2B"	2455	39613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ACSM3"	2146	33168	125	282	67	58	143	139	31	14	0	154	337	458	312	102	398	159
"ACSM4"	1756	24043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ACSM5"	2430	31424	25	0	7	18	0	0	5	8	0	0	93	36	418	330	123	88
"ACSS1"	4889	26436	611	44	358	253	24	20	727	150	132	37	612	579	871	795	1125	857
"ACSS2"	3037	51443	5204	1419	2945	2259	842	577	2399	1135	3530	1710	2433	2369	2344	1737	3308	2137
"ACSS3"	3049	177775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ACTA1"	1497	2850	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0
"ACTA2"	1766	56317	161	41	95	66	41	0	309	37	0	0	251	155	483	401	320	274
"ACTB"	1856	3451	14610	13547	8138	6472	7184	6363	3236	7321	7491	21408	421	447	26052	29997	316643	38937
"ACTBL2"	2794	2794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ACTBL3"	3413	46494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ACTC1"	3700	7632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ACTG1"	2045	2250	15803	16127	8143	7660	8558	7569	3939	8877	8775	23868	75395	79560	30185	106961	322561	43324
"ACTG2"	1903	26688	8	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
"ACTL6A"	1915	25482	301	14	207	94	14	0	173	0	0	0	954	967	967	766	669	711
"ACTL6B"	1543	13358	0	0	0	0	0	0	206	0	0	0	0	0	0	0	0	0
"ACTL7A"	1434	1434	0	13	0	0	13	0	23	14	0	0	0	0	0	0	0	0
"ACTL7B"	1406	1406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ACTL8"	1862	71750	0	0	0	0	0	0	126	9	0	0	0	0	0	0	0	0
"ACTL9"	1423	1423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
